SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-34.7599,-44.0494,79.6681,23.3223,-27.7309,71.5242,-43.4367,-36.973,47.185,22.3386,-18.0066,49.6206,-43.5975,-22.8949,19.0137,25.74,-10.2621,28.8103,-14.9198,19.3706,63.9973,-14.0247,23.4195,43.5738
-9.41204,-60.0359,-50.3794,46.2396,-56.9316,-47.2878,-8.96186,-61.2706,-75.6812,50.2719,-59.97,-72.1224,-7.05421,-61.776,-101.504,52.9863,-62.3793,-98.8615,19.7696,-12.2256,-73.8324,21.2331,-12.4437,-92.8858
-8.96186,-61.2706,-75.6812,50.2719,-59.97,-72.1224,-7.05421,-61.776,-101.504,52.9863,-62.3793,-98.8615,-5.66717,-59.1652,-125.69,52.44,-62.3613,-128.231,23.1165,-12.3161,-96.222,24.1508,-10.1205,-115.134
-7.05421,-61.776,-101.504,52.9863,-62.3793,-98.8615,-5.66717,-59.1652,-125.69,52.44,-62.3613,-128.231,-7.29457,-57.2304,-148.93,48.0038,-59.5052,-158.989,23.9424,-10.0045,-119.481,23.3119,-7.66486,-138.706
-5.66717,-59.1652,-125.69,52.44,-62.3613,-128.231,-7.29457,-57.2304,-148.93,48.0038,-59.5052,-158.989,-9.12717,-56.3568,-174.316,42.627,-53.6418,-187.522,25.0728,-6.93428,-142.963,20.1365,-4.33641,-164.237
-7.29457,-57.2304,-148.93,48.0038,-59.5052,-158.989,-9.12717,-56.3568,-174.316,42.627,-53.6418,-187.522,-13.719,-52.9569,-202.322,33.3697,-46.0989,-215.875,20.1339,-3.44821,-167.157,11.693,-0.387501,-190.187
-9.12717,-56.3568,-174.316,42.627,-53.6418,-187.522,-13.719,-52.9569,-202.322,33.3697,-46.0989,-215.875,-19.3434,-48.2032,-236.724,20.468,-38.8553,-245.951,10.1803,0.620984,-195.072,1.11705,3.3499,-216.937
-13.719,-52.9569,-202.322,33.3697,-46.0989,-215.875,-19.3434,-48.2032,-236.724,20.468,-38.8553,-245.951,-34.8459,-46.9529,-269.144,26.0964,-26.3376,-271.961,-0.837978,4.88806,-221.448,-12.4506,8.24054,-242.875
-19.3434,-48.2032,-236.724,20.468,-38.8553,-245.951,-34.8459,-46.9529,-269.144,26.0964,-26.3376,-271.961,-39.2266,-42.7815,-302.591,28.5534,-19.8553,-298.754,-14.5197,10.5569,-250.403,-17.3654,15.0381,-274.092
-34.8459,-46.9529,-269.144,26.0964,-26.3376,-271.961,-39.2266,-42.7815,-302.591,28.5534,-19.8553,-298.754,-40.8593,-31.553,-336.875,32.1403,-13.1472,-328.19,-19.0567,18.0726,-281.19,-16.9687,25.0847,-306.145
