 ,SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
 ,-0.10058381,-0.033937791,0.126412263,0.128799511,-0.020770697,0.116203322,-0.108261615,-0.016329401,0.006916941,0.106642974,0.002409444,-0.005692281,-0.097741025,0.022196284,-0.113468807,0.071143967,0.046432162,-0.130371437
 ,-0.084664754,-0.050946293,0.114361514,0.10813828,-0.034134617,0.103049069,-0.075226139,-0.016382727,0.006356666,0.076290118,0.005360647,-0.008807637,-0.108763006,0.033457676,-0.103308407,0.084225501,0.062645313,-0.111651205
 ,-0.057658825,-0.052346103,0.100060934,0.081026599,-0.032444021,0.086180787,-0.088355693,-0.006726329,-0.000317385,0.088289991,0.019989615,-0.00795369,-0.113762783,0.019817941,-0.085334075,0.090460711,0.051708896,-0.092636571
 ,-0.070670597,-0.036017978,0.086523535,0.088664292,-0.011920124,0.079635567,-0.093587861,-0.012074974,0.009838248,0.090622288,0.016690754,0.003251377,-0.120113136,0.006110467,-0.084502835,0.105085015,0.037211854,-0.094745893
TrXFiducials024Closed, , , , , , , , , , , , , , , , , , 
 ,-0.439941883,0.08260913,0.222394861,0.315572975,0.138262583,0.330720682,-0.377757429,-0.027826476,-0.054162911,0.377757429,0.027826978,0.054162911,-0.294685812,-0.127809471,-0.304224985,0.41905472,-0.093062743,-0.248890558
 ,-0.392691875,0.071349055,0.211016741,0.303038324,0.122598594,0.31077063,-0.316193799,-0.020722184,-0.019257667,0.341067718,0.011275,0.031698091,-0.307323554,-0.099853202,-0.270960073,0.372103185,-0.084647264,-0.263267722
 ,-0.322907874,0.062040852,0.231894843,0.284581857,0.091615018,0.278991925,-0.314709337,-0.01109789,-0.000747146,0.313267132,0.002956563,0.006362694,-0.308989189,-0.077251033,-0.247625464,0.348757411,-0.068263509,-0.268876852
 ,-0.241314281,0.039729627,0.208316431,0.229988913,0.050277647,0.213652443,-0.237021247,-0.009919029,0.023031559,0.256624755,-0.003173794,0.00708216,-0.23521502,-0.039004188,-0.209675667,0.22693688,-0.037910262,-0.242406925
 ,-0.184693447,0.0118644,0.198793936,0.209215381,0.017246815,0.186066984,-0.183252154,-0.011344338,0.01310332,0.1855257,-0.010471431,-0.013014853,-0.207704286,-0.01138039,-0.169892638,0.180908805,0.004084944,-0.215056749
 ,-0.142742535,-0.012202743,0.170830164,0.16977786,-0.011462999,0.148696347,-0.163464468,-0.012233295,0.015750437,0.165865277,0.000872785,-0.02252384,-0.17140079,0.01304606,-0.137678192,0.141964655,0.021980191,-0.175074917
 ,-0.131388366,-0.027310057,0.148998056,0.160317022,-0.015701284,0.115096433,-0.138418001,-0.004918749,0.013097918,0.139146932,0.002994701,-0.020026409,-0.142501972,0.020492499,-0.122894343,0.112844385,0.02444289,-0.134271654
 ,-0.109002048,-0.029009216,0.125626427,0.135188899,-0.022047267,0.096484918,-0.112594969,-0.006653378,0.005985668,0.112048931,-0.003177976,-0.004023652,-0.115667161,0.03172649,-0.099811228,0.090026349,0.029161348,-0.124262133
 ,-0.08979587,-0.035619783,0.110329152,0.108116046,-0.032557944,0.101510912,-0.092502481,-0.00180701,0.017121785,0.088714089,-0.004066907,-0.004419533,-0.079141687,0.03544559,-0.101125635,0.064609903,0.038606055,-0.123416681
 ,-0.074431446,-0.039720361,0.114957731,0.087341164,-0.041737778,0.095727728,-0.062504223,-0.006464845,0.009397882,0.065823281,-0.003643489,-0.010501406,-0.116041874,0.036143934,-0.091783725,0.099813098,0.05542254,-0.11779821
 ,-0.049377457,-0.040974309,0.101444082,0.06722538,-0.038410726,0.083362895,-0.09802363,-0.002258489,0.009506951,0.098109711,0.015258723,-0.014130715,-0.118487769,0.020140463,-0.074687305,0.100553766,0.046244338,-0.105495908
TrXFiducials027Closed, , , , , , , , , , , , , , , , , , 
 ,-0.281490009,0.228335468,0.160087342,0.367584951,-0.002427859,0.153793935,-0.32453748,0.115381664,0.003146704,0.32453748,-0.115381664,-0.003146704,-0.352703236,-0.002031143,-0.162086056,0.266608294,-0.223876467,-0.151795221
 ,-0.329404889,0.268812427,0.203317477,0.440499331,-0.0049089,0.195852513,-0.362813872,0.129542511,0.007325632,0.371786274,-0.133600672,0.019532168,-0.411469486,0.010630073,-0.199359755,0.29140264,-0.270475439,-0.226668034
 ,-0.36869581,0.316328345,0.263177572,0.531312673,-0.006066223,0.278132629,-0.428307104,0.170640648,0.009953281,0.432829229,-0.173760788,-0.023503945,-0.499403316,0.033275629,-0.215789523,0.33226433,-0.340417611,-0.311970014
 ,-0.469228463,0.43062049,0.374095576,0.707475597,-0.03998858,0.328377782,-0.566378238,0.24291737,0.065628189,0.570058187,-0.267717631,-0.065798126,-0.664393084,0.068611036,-0.25458956,0.422466002,-0.434442684,-0.44771386
 ,-0.502598621,0.474251064,0.473937579,0.786448262,-0.104956396,0.324862208,-0.613775743,0.276537377,0.110718237,0.619036129,-0.294070724,-0.108340455,-0.746649704,0.085590103,-0.276900614,0.457539678,-0.437351424,-0.524276955
 ,-0.384515989,0.36935982,0.439177281,0.651000499,-0.109929932,0.255176062,-0.496125214,0.208971155,0.113591748,0.515349438,-0.230280434,-0.094195251,-0.656162109,0.1155333,-0.222307597,0.370453374,-0.353653908,-0.491442243
 ,-0.306378981,0.28894978,0.416050613,0.584149556,-0.09777872,0.233109546,-0.447279617,0.206684667,0.120316112,0.4565793,-0.206399928,-0.116637016,-0.566853661,0.100846683,-0.181825011,0.279783403,-0.292302482,-0.471014244
 ,-0.258485145,0.256435725,0.379192621,0.517595597,-0.098251265,0.175737463,-0.361155054,0.165560015,0.119765069,0.365793266,-0.172009809,-0.128541597,-0.478330197,0.079076846,-0.15796332,0.214581533,-0.230811512,-0.388190237
 ,-0.171688727,0.180974162,0.307593013,0.388732849,-0.079266364,0.116167558,-0.262021804,0.114302251,0.093485658,0.272160164,-0.124597981,-0.084001693,-0.356570639,0.068189699,-0.12016639,0.129388157,-0.159601766,-0.313078147
 ,-0.131726491,0.124147943,0.25552753,0.310715461,-0.07372374,0.108521725,-0.21003758,0.085954727,0.078567926,0.192463013,-0.102716001,-0.081213309,-0.265221397,0.065416206,-0.108451304,0.103806995,-0.099079134,-0.252952568
 ,-0.091776563,0.080344899,0.230996837,0.236075641,-0.07333466,0.10084888,-0.136725903,0.063615485,0.078662485,0.163861906,-0.070372293,-0.039039348,-0.22035408,0.06076296,-0.146967943,0.048918999,-0.061016391,-0.224500911
 ,-0.056849484,0.057427969,0.215258643,0.19015947,-0.052676898,0.1185368,-0.125571194,0.055083898,0.029846147,0.095704783,-0.044988657,-0.033866808,-0.220640411,0.037744023,-0.117661039,0.117196837,-0.052590335,-0.212113743
 ,-0.061484971,0.051979417,0.168054773,0.129020152,-0.034176949,0.113201805,-0.143333769,0.037050842,0.041060081,0.1475235,-0.040721531,-0.040257938,-0.199910494,0.032337879,-0.102739804,0.128185582,-0.046469658,-0.179318918
 ,-0.096587186,0.036585822,0.16726674,0.156964158,-0.031211313,0.096378731,-0.145907268,0.032477353,0.041910911,0.140106558,-0.036222174,-0.024846014,-0.201267758,0.040295664,-0.127602384,0.146691496,-0.041925351,-0.153107983
 ,-0.111674671,0.017462509,0.15914374,0.141751292,-0.043409526,0.099992969,-0.160727495,0.024390017,0.008944461,0.147585955,-0.048462894,-0.013655079,-0.157291204,0.049968698,-0.127593147,0.140356123,5.12E-05,-0.126832944
 ,-0.137235475,0.005840786,0.119473454,0.133153365,-0.058050732,0.099653808,-0.134221871,0.028273119,-0.000269118,0.126812851,-0.015504198,0.000397575,-0.138025486,0.038344158,-0.123275785,0.149516616,0.001096866,-0.095979935
TrXFiducials028Closed, , , , , , , , , , , , , , , , , , 
 ,-0.08241118,0.007479189,0.054352502,0.080408284,0.006221924,0.060625576,-0.081409661,0.000628632,-0.003136095,0.081409697,-0.000628632,0.003136978,-0.076095703,-0.005218285,-0.074302484,0.078098563,-0.008482828,-0.040676478
 ,-0.090612487,0.00724699,0.061082758,0.082138058,0.005913038,0.067738458,-0.084974403,0.001043439,-0.014424433,0.078624962,-0.002420225,0.021252595,-0.074232209,0.003913235,-0.087524662,0.089056078,-0.015696477,-0.048124716
 ,-0.098444224,0.004619,0.055849796,0.073130961,0.000986475,0.093266156,-0.087178325,0.007628705,-0.020814227,0.084070617,-0.012937023,0.020506552,-0.07054857,0.017933538,-0.094753413,0.098969541,-0.018230695,-0.054054864
 ,-0.109895488,0.007338888,0.056106288,0.074791183,-0.014840611,0.100669465,-0.091960813,0.018452332,-0.023634831,0.090859211,-0.020549672,0.020257291,-0.079586993,0.030058413,-0.089121585,0.1157929,-0.02045935,-0.064276628
 ,-0.117122088,0.013873787,0.056816164,0.081684397,-0.028538697,0.104546377,-0.103666256,0.026494747,-0.014396994,0.108798381,-0.028440476,0.012620499,-0.099567289,0.044879922,-0.079952112,0.129872855,-0.028269283,-0.079633933
 ,-0.128983126,0.018934858,0.072052995,0.104989666,-0.04156155,0.101805514,-0.124469213,0.039181196,-0.000138378,0.128197545,-0.041373026,0.00021201,-0.114526951,0.048787543,-0.073529449,0.134792078,-0.023969021,-0.100402692
 ,-0.143487388,0.036693925,0.100068817,0.137751405,-0.052969521,0.100458828,-0.132420836,0.047386575,0.018378545,0.14509166,-0.033597438,-0.011533576,-0.119699282,0.024816829,-0.083901746,0.112764441,-0.02233037,-0.123470869
 ,-0.138198578,0.041067478,0.137266448,0.164129054,-0.047158117,0.104679589,-0.124339465,0.016479548,0.025840265,0.128911139,-0.034883549,-0.017267125,-0.148130274,0.026724827,-0.104525645,0.117628124,-0.002230186,-0.145993531
 ,-0.127613538,0.014523584,0.176066257,0.157394414,-0.043280389,0.127553248,-0.154387688,0.02605361,0.029352605,0.144696521,-0.00653233,-0.017315309,-0.122969096,0.011940971,-0.142288022,0.102879388,-0.002705447,-0.17336878
 ,-0.170494313,0.018077365,0.211896524,0.180014294,-0.020111386,0.157204551,-0.133673623,0.001538205,0.010744089,0.131007143,-0.01562651,-0.02568068,-0.250369324,0.00269125,-0.169515879,0.243515823,0.013431075,-0.184648605
 ,-0.158144237,0.001898462,0.252734528,0.173184013,-0.019588385,0.207137883,-0.304224298,0.003341848,0.027084509,0.314022747,0.016785996,0.008141314,-0.311455712,-0.029607447,-0.228073707,0.286617486,0.027169526,-0.267024527
 ,-0.391363878,-0.00865959,0.379920438,0.407043897,0.00870226,0.355457088,-0.400702568,-0.051210498,0.050407657,0.371652586,0.02211161,0.000106345,-0.420637382,-0.018314362,-0.371015006,0.434007346,0.04737058,-0.414876521
TrXFiducials007Closed, , , , , , , , , , , , , , , , , , 
 ,-0.680047778,0.075368082,0.494958486,0.613670813,0.264260425,0.62163069,-0.646858909,-0.094446172,-0.063336063,0.646859683,0.094446172,0.063335909,-0.572328379,-0.24634934,-0.659891196,0.638704571,-0.093279167,-0.456697825
 ,-0.47167325,0.028988506,0.328436938,0.405867942,0.157115916,0.414359699,-0.421118508,-0.074048807,-0.076211883,0.400336255,0.029780096,0.061616045,-0.354376302,-0.104514791,-0.486541896,0.440963862,-0.037320922,-0.241658903
 ,-0.359808498,-0.013251263,0.209316494,0.25669443,0.064672471,0.312756543,-0.30971838,-0.036116026,-0.098636744,0.287185505,0.014313065,0.085148278,-0.234851312,-0.002863558,-0.34813537,0.360498256,-0.02675469,-0.160449201
 ,-0.31197246,-0.020380781,0.130066357,0.185588876,0.02165541,0.283264089,-0.249565497,0.007337488,-0.077908282,0.246700206,-0.012577449,0.07854133,-0.198523871,0.036124949,-0.244338007,0.327772746,-0.032159617,-0.169625487
 ,-0.249322872,-0.002394444,0.11454683,0.162234306,-0.018910063,0.244291764,-0.206993637,0.021479232,-0.023474692,0.229468422,-0.035149714,0.038485007,-0.191246319,0.050926153,-0.194166571,0.2558601,-0.015951164,-0.179682338
 ,-0.187016947,0.000536358,0.133218785,0.166595446,-0.045343225,0.183417232,-0.174258801,0.024393635,-0.005072191,0.18797743,-0.029788963,0.006662632,-0.171335018,0.043010593,-0.123333267,0.17803789,0.007191603,-0.194893192
 ,-0.148869766,-0.001852804,0.12854646,0.160540689,-0.048133824,0.138569965,-0.146372365,0.014049198,0.027531679,0.152050656,-0.016546223,-0.03359249,-0.150428664,0.027470186,-0.081630731,0.13307945,0.025013466,-0.179424882
 ,-0.113791612,-0.010009891,0.135534799,0.152299204,-0.037290496,0.081033038,-0.117408437,0.001957019,0.03819943,0.135383405,-0.000233531,-0.048999357,-0.147229737,0.021543494,-0.048425018,0.090747178,0.024033406,-0.157342892
 ,-0.081512017,-0.01595425,0.136409408,0.147806057,-0.01794139,0.057307734,-0.108564168,0.001813463,0.057828741,0.107314665,0.004072166,-0.040975228,-0.127134415,-0.004009477,-0.076737338,0.062089878,0.032019489,-0.133833317
 ,-0.071482659,-0.011315249,0.148873852,0.123654991,-0.009273557,0.05956276,-0.088268715,-0.016578733,0.027236599,0.082775306,0.015988646,-0.024373719,-0.106287917,-0.00843853,-0.090847875,0.059608995,0.029617422,-0.120451616
 ,-0.058129883,-0.032979657,0.122541102,0.096308722,-0.003574008,0.075941254,-0.074399731,-0.025629728,0.015920589,0.075391459,0.00873165,-0.010809141,-0.123031353,-0.006188642,-0.095701957,0.083860785,0.059640386,-0.107891848
 ,-0.053116808,-0.039478199,0.10695438,0.083024731,-0.008247986,0.082660384,-0.097316897,-0.021808673,0.005503385,0.090722294,0.038021716,-0.005575708,-0.128097993,-0.01313569,-0.096700229,0.104784673,0.044648831,-0.09284221
 ,-0.085945243,-0.035475995,0.090906748,0.085574615,0.019098267,0.080800959,-0.114022205,-0.027564937,-0.002318229,0.098401607,0.025143186,0.001200861,-0.109759096,-0.013771215,-0.090168708,0.125750322,0.032570694,-0.080421631
TrXFiducials010Closed, , , , , , , , , , , , , , , , , , 
