SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-52.7893,-52.9514,298.367,-3.20797,-41.5861,315.568,-46.9375,-51.2519,275.73,3.15523,-43.3507,300.012,-36.303,-47.8399,253.273,14.9036,-44.5899,282.989,-28.3708,-4.75377,290.106,-21.3876,-5.46083,277.426
-46.9375,-51.2519,275.73,3.15523,-43.3507,300.012,-36.303,-47.8399,253.273,14.9036,-44.5899,282.989,-27.5022,-41.7243,232.722,22.3705,-48.7075,264.462,-17.8037,-3.65762,273.215,-8.34631,-2.61768,260.513
-36.303,-47.8399,253.273,14.9036,-44.5899,282.989,-27.5022,-41.7243,232.722,22.3705,-48.7075,264.462,-18.5549,-35.8451,215.649,29.0345,-53.1009,241.202,-4.21871,-2.51229,255.365,5.38245,-0.851051,242.586
-27.5022,-41.7243,232.722,22.3705,-48.7075,264.462,-18.5549,-35.8451,215.649,29.0345,-53.1009,241.202,-11.5069,-34.4761,199.85,37.371,-55.03,214.156,8.79487,-0.517003,237.684,16.6516,1.23537,223.161
-18.5549,-35.8451,215.649,29.0345,-53.1009,241.202,-11.5069,-34.4761,199.85,37.371,-55.03,214.156,-5.40784,-32.0115,186.205,37.9851,-54.7337,190.39,20.6683,0.446146,218.819,25.6131,0.506842,202.376
-11.5069,-34.4761,199.85,37.371,-55.03,214.156,-5.40784,-32.0115,186.205,37.9851,-54.7337,190.39,1.67175,-26.9522,168.188,35.0622,-45.9611,162.332,27.6126,-0.977168,196.795,28.568,1.80326,179.16
-5.40784,-32.0115,186.205,37.9851,-54.7337,190.39,1.67175,-26.9522,168.188,35.0622,-45.9611,162.332,-3.4122,-26.7305,141.252,30.6785,-38.7489,131.054,30.7963,2.40576,172.844,29.4623,4.90044,157.904
1.67175,-26.9522,168.188,35.0622,-45.9611,162.332,-3.4122,-26.7305,141.252,30.6785,-38.7489,131.054,-19.3285,-16.5918,119.593,26.0224,-33.7866,98.6962,29.3713,6.6808,149.415,22.9034,11.5234,132.3
-3.4122,-26.7305,141.252,30.6785,-38.7489,131.054,-19.3285,-16.5918,119.593,26.0224,-33.7866,98.6962,-33.6042,-14.7142,99.0123,21.9095,-26.3343,74.3614,19.8585,14.0548,123.719,9.79236,17.7396,105.889
-19.3285,-16.5918,119.593,26.0224,-33.7866,98.6962,-33.6042,-14.7142,99.0123,21.9095,-26.3343,74.3614,-47.8312,-13.3372,71.7946,16.6961,-18.2975,48.8061,5.3941,20.6665,98.154,-5.87579,24.2692,78.1502
-33.6042,-14.7142,99.0123,21.9095,-26.3343,74.3614,-47.8312,-13.3372,71.7946,16.6961,-18.2975,48.8061,-55.6938,-8.56882,40.1769,1.30022,-9.60302,23.0541,-10.9917,26.8971,67.7843,-18.3484,29.2464,45.4957
-47.8312,-13.3372,71.7946,16.6961,-18.2975,48.8061,-55.6938,-8.56882,40.1769,1.30022,-9.60302,23.0541,-67.323,-1.83739,11.4921,-10.329,-2.87159,-5.63075,-23.6966,30.6446,34.3341,-29.0583,27.1859,11.2976
-10.3421,-52.2856,380.559,43.3639,-52.6559,381.19,-9.12771,-53.6246,361.18,44.5783,-53.995,361.811,-7.82999,-55.8881,339.952,45.7093,-54.4096,344.281,18.3067,-12.2768,361.938,18.6138,-11.3555,347.769
-9.12771,-53.6246,361.18,44.5783,-53.995,361.811,-7.82999,-55.8881,339.952,45.7093,-54.4096,344.281,-5.37568,-57.5067,314.56,47.5626,-56.8609,326.377,18.6153,-11.7888,342.593,20.1603,-10.9701,327.252
-7.82999,-55.8881,339.952,45.7093,-54.4096,344.281,-5.37568,-57.5067,314.56,47.5626,-56.8609,326.377,0.0561955,-54.8321,291.732,51.8843,-59.5639,304.598,20.4703,-11.03,323.548,25.0985,-10.0332,308.233
-5.37568,-57.5067,314.56,47.5626,-56.8609,326.377,0.0561955,-54.8321,291.732,51.8843,-59.5639,304.598,4.10606,-49.7312,267.636,58.7849,-61.5395,282.566,27.2541,-9.65653,303.237,33.0661,-7.90446,288.229
0.0561955,-54.8321,291.732,51.8843,-59.5639,304.598,4.10606,-49.7312,267.636,58.7849,-61.5395,282.566,10.7336,-44.5888,246.002,62.2681,-60.456,257.001,36.1082,-6.95733,282.906,41.2233,-4.70153,268.314
4.10606,-49.7312,267.636,58.7849,-61.5395,282.566,10.7336,-44.5888,246.002,62.2681,-60.456,257.001,15.0016,-39.9127,228.309,65.6478,-56.9865,228.261,44.5514,-4.03074,261.853,48.0333,-1.03017,246.502
10.7336,-44.5888,246.002,62.2681,-60.456,257.001,15.0016,-39.9127,228.309,65.6478,-56.9865,228.261,15.9593,-36.9938,212.073,68.209,-51.9417,202.503,49.7915,-0.0442964,239.505,51.4294,2.59938,223.19
15.0016,-39.9127,228.309,65.6478,-56.9865,228.261,15.9593,-36.9938,212.073,68.209,-51.9417,202.503,14.8376,-29.0683,191.751,65.2332,-44.0099,177.509,51.6804,3.33199,216.581,50.6201,5.67091,198.076
15.9593,-36.9938,212.073,68.209,-51.9417,202.503,14.8376,-29.0683,191.751,65.2332,-44.0099,177.509,10.5926,-30.8336,162.36,59.1434,-37.3236,151.887,49.6301,7.06312,192.495,45.2823,9.93308,173.708
