SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,TrXFiducials007Closed
-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,TrXFiducials007Closed
-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,TrXFiducials007Closed
-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,TrXFiducials007Closed
-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,TrXFiducials007Closed
-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,TrXFiducials007Closed
-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,-57.5034,-1.9001,-294.97,11.19,15.1446,-293.832,TrXFiducials007Closed
-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,-57.5034,-1.9001,-294.97,11.19,15.1446,-293.832,-56.1248,2.5605,-323.379,20.034,17.5465,-320.227,TrXFiducials007Closed
-50.7815,5.65845,46.6485,24.3604,2.31665,54.9341,-49.9687,-12.2902,34.0812,25.1732,-15.632,42.3668,-46.7262,-31.7434,19.9073,23.5563,-32.0761,31.4061,TrXFiducials010Closed
-49.9687,-12.2902,34.0812,25.1732,-15.632,42.3668,-46.7262,-31.7434,19.9073,23.5563,-32.0761,31.4061,-40.2147,-49.6982,2.87119,23.3787,-50.9484,11.3814,TrXFiducials010Closed
-46.7262,-31.7434,19.9073,23.5563,-32.0761,31.4061,-40.2147,-49.6982,2.87119,23.3787,-50.9484,11.3814,-39.3127,-66.1125,-17.8475,26.7158,-65.7087,-7.43625,TrXFiducials010Closed
-40.2147,-49.6982,2.87119,23.3787,-50.9484,11.3814,-39.3127,-66.1125,-17.8475,26.7158,-65.7087,-7.43625,-37.3063,-82.5177,-40.4828,31.3154,-81.5784,-29.8617,TrXFiducials010Closed
-39.3127,-66.1125,-17.8475,26.7158,-65.7087,-7.43625,-37.3063,-82.5177,-40.4828,31.3154,-81.5784,-29.8617,-33.7598,-95.2466,-65.9667,37.8858,-96.9409,-52.8921,TrXFiducials010Closed
-37.3063,-82.5177,-40.4828,31.3154,-81.5784,-29.8617,-33.7598,-95.2466,-65.9667,37.8858,-96.9409,-52.8921,-30.999,-105.75,-87.9384,38.7744,-109.826,-82.8671,TrXFiducials010Closed
-33.7598,-95.2466,-65.9667,37.8858,-96.9409,-52.8921,-30.999,-105.75,-87.9384,38.7744,-109.826,-82.8671,-31.7311,-113.487,-116.327,35.538,-120.296,-113.498,TrXFiducials010Closed
-30.999,-105.75,-87.9384,38.7744,-109.826,-82.8671,-31.7311,-113.487,-116.327,35.538,-120.296,-113.498,-26.7596,-117.68,-150.228,32.1799,-120.822,-151.822,TrXFiducials010Closed
-31.7311,-113.487,-116.327,35.538,-120.296,-113.498,-26.7596,-117.68,-150.228,32.1799,-120.822,-151.822,-26.2272,-107.939,-184.995,30.4101,-110.1,-182.221,TrXFiducials010Closed
-26.7596,-117.68,-150.228,32.1799,-120.822,-151.822,-26.2272,-107.939,-184.995,30.4101,-110.1,-182.221,-23.3132,-94.888,-213.757,32.9557,-93.8094,-214.046,TrXFiducials010Closed
-26.2272,-107.939,-184.995,30.4101,-110.1,-182.221,-23.3132,-94.888,-213.757,32.9557,-93.8094,-214.046,-21.0066,-79.2119,-245.084,31.3351,-75.8817,-243.96,TrXFiducials010Closed
-23.3132,-94.888,-213.757,32.9557,-93.8094,-214.046,-21.0066,-79.2119,-245.084,31.3351,-75.8817,-243.96,-41.0517,-62.1876,-270.633,48.9246,-59.7808,-270.2,TrXFiducials010Closed
-21.0066,-79.2119,-245.084,31.3351,-75.8817,-243.96,-41.0517,-62.1876,-270.633,48.9246,-59.7808,-270.2,-37.7913,-52.6023,-301.516,46.2694,-47.1751,-299.123,TrXFiducials010Closed
-41.0517,-62.1876,-270.633,48.9246,-59.7808,-270.2,-37.7913,-52.6023,-301.516,46.2694,-47.1751,-299.123,-43.0783,-46.9748,-333.664,54.3378,-39.4554,-332.405,TrXFiducials010Closed
-37.7913,-52.6023,-301.516,46.2694,-47.1751,-299.123,-43.0783,-46.9748,-333.664,54.3378,-39.4554,-332.405,-37.7482,-31.9152,-362.866,47.2228,-25.4893,-364.143,TrXFiducials010Closed
-43.0783,-46.9748,-333.664,54.3378,-39.4554,-332.405,-37.7482,-31.9152,-362.866,47.2228,-25.4893,-364.143,-40.1623,-30.7175,-396.071,55.9199,-27.7013,-391.366,TrXFiducials010Closed
-61.0934,-46.5269,340.322,-5.59944,-34.8684,351.103,-58.4195,-49.8125,320.95,-2.92555,-38.1539,331.73,-52.7893,-52.9514,298.367,-3.20797,-41.5861,315.568,TrXFiducials011Closed
-58.4195,-49.8125,320.95,-2.92555,-38.1539,331.73,-52.7893,-52.9514,298.367,-3.20797,-41.5861,315.568,-46.9375,-51.2519,275.73,3.15523,-43.3507,300.012,TrXFiducials011Closed
-52.7893,-52.9514,298.367,-3.20797,-41.5861,315.568,-46.9375,-51.2519,275.73,3.15523,-43.3507,300.012,-36.303,-47.8399,253.273,14.9036,-44.5899,282.989,TrXFiducials011Closed
-46.9375,-51.2519,275.73,3.15523,-43.3507,300.012,-36.303,-47.8399,253.273,14.9036,-44.5899,282.989,-27.5022,-41.7243,232.722,22.3705,-48.7075,264.462,TrXFiducials011Closed
-36.303,-47.8399,253.273,14.9036,-44.5899,282.989,-27.5022,-41.7243,232.722,22.3705,-48.7075,264.462,-18.5549,-35.8451,215.649,29.0345,-53.1009,241.202,TrXFiducials011Closed
-27.5022,-41.7243,232.722,22.3705,-48.7075,264.462,-18.5549,-35.8451,215.649,29.0345,-53.1009,241.202,-11.5069,-34.4761,199.85,37.371,-55.03,214.156,TrXFiducials011Closed
-18.5549,-35.8451,215.649,29.0345,-53.1009,241.202,-11.5069,-34.4761,199.85,37.371,-55.03,214.156,-5.40784,-32.0115,186.205,37.9851,-54.7337,190.39,TrXFiducials011Closed
-11.5069,-34.4761,199.85,37.371,-55.03,214.156,-5.40784,-32.0115,186.205,37.9851,-54.7337,190.39,1.67175,-26.9522,168.188,35.0622,-45.9611,162.332,TrXFiducials011Closed
-5.40784,-32.0115,186.205,37.9851,-54.7337,190.39,1.67175,-26.9522,168.188,35.0622,-45.9611,162.332,-3.4122,-26.7305,141.252,30.6785,-38.7489,131.054,TrXFiducials011Closed
1.67175,-26.9522,168.188,35.0622,-45.9611,162.332,-3.4122,-26.7305,141.252,30.6785,-38.7489,131.054,-19.3285,-16.5918,119.593,26.0224,-33.7866,98.6962,TrXFiducials011Closed
-3.4122,-26.7305,141.252,30.6785,-38.7489,131.054,-19.3285,-16.5918,119.593,26.0224,-33.7866,98.6962,-33.6042,-14.7142,99.0123,21.9095,-26.3343,74.3614,TrXFiducials011Closed
